,name,repo,issue
161,Upgrade @vonage/server-sdk to latest version ,"Repository(full_name=""novuhq/novu"")","[Issue(title=""Upgrade @vonage/server-sdk to latest version "", number=4828)]"
162,[NV-3054] feature: add number format handlebar helper,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-3054] feature: add number format handlebar helper"", number=4821)]"
163,[NV-3028] Upgrade mocha to latest versions on all app packages,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-3028] Upgrade mocha to latest versions on all app packages"", number=4527)]"
164,[NV-2989] Upgrade cypress to latest version,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2989] Upgrade cypress to latest version"", number=4426)]"
165,[NV-2971] [NV-2842] Add Trigger Identifier to the Subscriber Preferences response,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2971] [NV-2842] Add Trigger Identifier to the Subscriber Preferences response"", number=4417)]"
166,[NV-2968] 🚀 Feature: Add Clicksend SMS Provider,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2968] 🚀 Feature: Add Clicksend SMS Provider"", number=4388)]"
167,[NV-2967] 🚀 Feature: Add Rocket.chat Chat Provider,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2967] 🚀 Feature: Add Rocket.chat Chat Provider"", number=4387)]"
168,[NV-2966] 🚀 Feature: Add Messagebird SMS Provider,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2966] 🚀 Feature: Add Messagebird SMS Provider"", number=4386)]"
169,[NV-2965] 🚀 Feature: Add Mastodon Chat Provider,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2965] 🚀 Feature: Add Mastodon Chat Provider"", number=4385)]"
170,[NV-2963] 🚀 Feature: Add Pushed Push Provider,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2963] 🚀 Feature: Add Pushed Push Provider"", number=4383)]"
171,[NV-2962] 🚀 Feature: Add Guilded Chat Provider,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2962] 🚀 Feature: Add Guilded Chat Provider"", number=4382)]"
172,[NV-2960] 🚀 Feature: Add Zulip Chat Provider,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2960] 🚀 Feature: Add Zulip Chat Provider"", number=4380)]"
173,[NV-2957] 🚀 Feature: Add MagicBell In-app Provider,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2957] 🚀 Feature: Add MagicBell In-app Provider"", number=4375)]"
174,[NV-2956] 🚀 Feature: Add Novu Rust Repository to the Readme for Hacktoberfest,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2956] 🚀 Feature: Add Novu Rust Repository to the Readme for Hacktoberfest"", number=4373)]"
175,[NV-2954] 🚀 Feature: Add Ryver Chat Provider,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2954] 🚀 Feature: Add Ryver Chat Provider"", number=4370)]"
176,[NV-2953] 🚀 Feature: Add D7 Network Whatsapp Chat Provider,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2953] 🚀 Feature: Add D7 Network Whatsapp Chat Provider"", number=4369)]"
177,[NV-2952] 🚀 Feature: Add D7 network Slack Chat Provider,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2952] 🚀 Feature: Add D7 network Slack Chat Provider"", number=4368)]"
178,[NV-2951] 🚀 Feature: Add D7 Network Viber Chat Provider,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2951] 🚀 Feature: Add D7 Network Viber Chat Provider"", number=4367)]"
179,[NV-2950] 🚀 Feature: Add D7Networks SMS Provider,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2950] 🚀 Feature: Add D7Networks SMS Provider"", number=4366)]"
180,[NV-2945] 🚀 Feature: Add Bulksms SMS provider,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2945] 🚀 Feature: Add Bulksms SMS provider"", number=4343)]"
181,[NV-2944] 🚀 Feature: Add SimpleTextin Sms Provider ,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2944] 🚀 Feature: Add SimpleTextin Sms Provider "", number=4342)]"
182,[NV-2942] 🚀 Feature: Add SMS.to sms provider,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2942] 🚀 Feature: Add SMS.to sms provider"", number=4339)]"
183,[NV-2941] 🚀 Feature: Add SMS.to Chat Provider for Viber,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2941] 🚀 Feature: Add SMS.to Chat Provider for Viber"", number=4338)]"
184,[NV-2940] 🚀 Feature: add Hashmail Email Provider,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2940] 🚀 Feature: add Hashmail Email Provider"", number=4337)]"
185,[NV-2939] 🚀 Feature: Add Mailchain Email Provider,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2939] 🚀 Feature: Add Mailchain Email Provider"", number=4336)]"
186,[NV-2933] Fix the kebab-case for css properties warning,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2933] Fix the kebab-case for css properties warning"", number=4294)]"
187,"[NV-2932] Fix the pseudo class "":first-child"" warning shown in the console","Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2932] Fix the pseudo class "":first-child"" warning shown in the console"", number=4293)]"
188,[NV-2841] Workflow Editor - channels icons are white in light theme,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2841] Workflow Editor - channels icons are white in light theme"", number=4260)]"
189,[NV-2825] Templates Store should have Blank Workflow in the List so users do not have to pop out to reselect it,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2825] Templates Store should have Blank Workflow in the List so users do not have to pop out to reselect it"", number=4258)]"
190,[NV-2657] Add icons to the alerts component,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2657] Add icons to the alerts component"", number=4255)]"
191,[NV-2350] Should show filter modal in production,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2350] Should show filter modal in production"", number=4254)]"
192,[NV-2040] 👁️ [Visual fix] Fix cut shadow,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2040] 👁️ [Visual fix] Fix cut shadow"", number=4251)]"
193,[NV-2033] 🔧 [Quick start guide][Digest WF] Display hits on hover over card step,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2033] 🔧 [Quick start guide][Digest WF] Display hits on hover over card step"", number=4249)]"
194,"[NV-2439] [BUG] 👀 Improve visual BUG in WF editor, ""+"" freeze while hovering","Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2439] [BUG] 👀 Improve visual BUG in WF editor, ""+"" freeze while hovering"", number=4246)]"
195,[NV-1152] Make the entire error rectangle clickable raher than the arrow only,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1152] Make the entire error rectangle clickable raher than the arrow only"", number=4245)]"
196,[NV-2756] When switching the organization the branding information is not refetched,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2756] When switching the organization the branding information is not refetched"", number=4243)]"
197,[NV-2929] [NV-2756] When switching the organization the branding information is not refetched,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2929] [NV-2756] When switching the organization the branding information is not refetched"", number=4232)]"
198,[NV-2765] 🐛 Bug Report: delay icon is not aligned with other steps icon,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2765] 🐛 Bug Report: delay icon is not aligned with other steps icon"", number=4046)]"
199,[NV-2730] Add field overrides in SMS channel like we have in the Email,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2730] Add field overrides in SMS channel like we have in the Email"", number=4030)]"
200,🐛 Bug Report: invalid netcore logo,"Repository(full_name=""novuhq/novu"")","[Issue(title=""🐛 Bug Report: invalid netcore logo"", number=3973)]"
201,[NV-2697] senderName field is missing in resend api and nodejs sdk,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2697] senderName field is missing in resend api and nodejs sdk"", number=3957)]"
202,[NV-2500] 🐛 Bug Report: `credentials.region must be a string` error in SparkPost email integration,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2500] 🐛 Bug Report: `credentials.region must be a string` error in SparkPost email integration"", number=3670)]"
203,🚀 Feature: add `markAsRead` `markAllUnreadAsRead` & `markAllUnseenAsSeen` in @novu/node,"Repository(full_name=""novuhq/novu"")","[Issue(title=""🚀 Feature: add `markAsRead` `markAllUnreadAsRead` & `markAllUnseenAsSeen` in @novu/node"", number=3665)]"
204,[NV-2446] 🐛 Bug Report: Workflows visual bug,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2446] 🐛 Bug Report: Workflows visual bug"", number=3615)]"
205,"[NV-1627] New ""is defined"" filter for payload checks","Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1627] New ""is defined"" filter for payload checks"", number=3421)]"
206,[NV-2314] 🐛 Bug Report:  Many warnings during webpack compile process.,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2314] 🐛 Bug Report:  Many warnings during webpack compile process."", number=3400)]"
207,"[NV-2292] 🐛 Bug Report: dual active states in UI, if template is created with api","Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2292] 🐛 Bug Report: dual active states in UI, if template is created with api"", number=3386)]"
208,[NV-2295] 🐛 Bug Report: template object missing in GET feed response,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2295] 🐛 Bug Report: template object missing in GET feed response"", number=3381)]"
209,[NV-2291] 🐛 Bug Report: APNs integration dialog does not allow turning Production off,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2291] 🐛 Bug Report: APNs integration dialog does not allow turning Production off"", number=3360)]"
210,[NV-2225] 🐛 Bug Report: Visual bug - dual scroll in integration configuration modal,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2225] 🐛 Bug Report: Visual bug - dual scroll in integration configuration modal"", number=3345)]"
211,[NV-2169] 🐛 Bug Report: Header missing `screen` argument and React identity,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-2169] 🐛 Bug Report: Header missing `screen` argument and React identity"", number=3286)]"
212,[NV-1959] 🐛 Bug Report: The Notification Center isn't mobile responsive,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1959] 🐛 Bug Report: The Notification Center isn't mobile responsive"", number=3125)]"
213,[NV-1903] 🚀 Feature: specify Novu version in client,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1903] 🚀 Feature: specify Novu version in client"", number=3073)]"
214,[NV-1816] 🚀 Feature: add analytics_label option in FCM,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1816] 🚀 Feature: add analytics_label option in FCM"", number=2965)]"
215,[NV-1815] 🐛 Bug Report: GitHub email change = new account,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1815] 🐛 Bug Report: GitHub email change = new account"", number=2964)]"
216,[NV-1793] 🐛 Bug Report: custom transactionId not working in trigger,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1793] 🐛 Bug Report: custom transactionId not working in trigger"", number=2926)]"
217,[NV-1582] 🐛 Bug Report: Node package does not allow data key in overrides,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1582] 🐛 Bug Report: Node package does not allow data key in overrides"", number=2603)]"
218,[NV-1520] 🐛 Bug Report: Alignment issue with the notification center alerts ,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1520] 🐛 Bug Report: Alignment issue with the notification center alerts "", number=2449)]"
219,[NV-1405] Add copy functionality for vars in variable manager.,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1405] Add copy functionality for vars in variable manager."", number=2378)]"
220,[NV-1132] Intercom + side props overlay - side prop cannot be dismissed,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1132] Intercom + side props overlay - side prop cannot be dismissed"", number=2376)]"
221,[NV-1402] Upgrade jsonwebtoken library to v9.0.0,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1402] Upgrade jsonwebtoken library to v9.0.0"", number=2354)]"
222,[NV-1370] (JS-0042) Found no return statements in callbacks of array methods,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1370] (JS-0042) Found no return statements in callbacks of array methods"", number=2290)]"
223,[NV-1369] (JS-T1001) Optional property in interface has an 'undefined' type,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1369] (JS-T1001) Optional property in interface has an 'undefined' type"", number=2289)]"
224,[NV-1368] (JS-0378) Found template literal expression having a non-string type,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1368] (JS-0378) Found template literal expression having a non-string type"", number=2288)]"
225,[NV-1367] (JS-0050) Avoid use of `==` and `!=`,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1367] (JS-0050) Avoid use of `==` and `!=`"", number=2287)]"
226,"[NV-1329] (JS-0765) Prefer that non-interactive, visible elements (such as <div>) that have click handlers use the role attribute","Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1329] (JS-0765) Prefer that non-interactive, visible elements (such as <div>) that have click handlers use the role attribute"", number=2243)]"
227,[NV-1328] markAs endpoint doesn't show body params on swagger,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1328] markAs endpoint doesn't show body params on swagger"", number=2238)]"
228,🚀 Feature: Inherit `fontFamily` when using `PopoverNotificationCenter`,"Repository(full_name=""novuhq/novu"")","[Issue(title=""🚀 Feature: Inherit `fontFamily` when using `PopoverNotificationCenter`"", number=2217)]"
229,[NV-899] Hide pagination if page < 2,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-899] Hide pagination if page < 2"", number=2194)]"
230,[NV-1295] (JS-0126) Variables should not be initialized to `undefined`,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1295] (JS-0126) Variables should not be initialized to `undefined`"", number=2166)]"
231,[NV-1287] Change the empty state copy for the URL for button,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1287] Change the empty state copy for the URL for button"", number=2147)]"
232,[NV-1285] (JS-0414) Missing key for the property,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1285] (JS-0414) Missing key for the property"", number=2144)]"
233,[NV-1187] Need option to override `tls` configuration ,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1187] Need option to override `tls` configuration "", number=2023)]"
234,🐛 Bug Report: manifest error in Chrome,"Repository(full_name=""novuhq/novu"")","[Issue(title=""🐛 Bug Report: manifest error in Chrome"", number=1998)]"
235,[NV-1238] 🐛 Bug Report: The tooltip on activity feed is hidden,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-1238] 🐛 Bug Report: The tooltip on activity feed is hidden"", number=1997)]"
236,🐛 Bug Report: on not exposed in embed.js,"Repository(full_name=""novuhq/novu"")","[Issue(title=""🐛 Bug Report: on not exposed in embed.js"", number=1791)]"
237,🐛 Bug Report: nodemailer sendername field & secure field,"Repository(full_name=""novuhq/novu"")","[Issue(title=""🐛 Bug Report: nodemailer sendername field & secure field"", number=1753)]"
238,[Bug]: Logger does not work from the /appsmith-plugins directory,"Repository(full_name=""appsmithorg/appsmith"")","[Issue(title=""[Bug]: Logger does not work from the /appsmith-plugins directory"", number=36073)]"
239,[Bug]: Tooltip cut in fullscreen,"Repository(full_name=""appsmithorg/appsmith"")","[Issue(title=""[Bug]: Tooltip cut in fullscreen"", number=34445)]"
240,[Bug]: whitelisting IP addresses banner in datasources is not copy-able,"Repository(full_name=""appsmithorg/appsmith"")","[Issue(title=""[Bug]: whitelisting IP addresses banner in datasources is not copy-able"", number=33676)]"
241,"[Bug]: When new member is added to a workspace, front-end does not render updated user list","Repository(full_name=""appsmithorg/appsmith"")","[Issue(title=""[Bug]: When new member is added to a workspace, front-end does not render updated user list"", number=28013)]"
242,[Feature]: Add support for isVisible property in the iframe widget,"Repository(full_name=""appsmithorg/appsmith"")","[Issue(title=""[Feature]: Add support for isVisible property in the iframe widget"", number=27991)]"
243,[Task]: [Design System] - Show copy button in category token table instead of tooltip,"Repository(full_name=""appsmithorg/appsmith"")","[Issue(title=""[Task]: [Design System] - Show copy button in category token table instead of tooltip"", number=26847)]"
244,[Bug]: Move widget deprecation messages from propertyPaneView to individual Widget configurations,"Repository(full_name=""appsmithorg/appsmith"")","[Issue(title=""[Bug]: Move widget deprecation messages from propertyPaneView to individual Widget configurations"", number=26526)]"
245,【Taro 3.5.12】Taro页面使用小程序原生组件，页面第一次展示时，组件监听不到页面的onShow生命周期触发，即 pageLifetimes.show 未被触发,"Repository(full_name=""NervJS/taro"")","[Issue(title=""【Taro 3.5.12】Taro页面使用小程序原生组件，页面第一次展示时，组件监听不到页面的onShow生命周期触发，即 pageLifetimes.show 未被触发"", number=14074)]"
246,babel-preset-taro 设置 useBuiltIns: 'usage'  编译支付宝小程序报错,"Repository(full_name=""NervJS/taro"")","[Issue(title=""babel-preset-taro 设置 useBuiltIns: 'usage'  编译支付宝小程序报错"", number=13773)]"
247,针对 skyline 渲染器的部分调整,"Repository(full_name=""NervJS/taro"")","[Issue(title=""针对 skyline 渲染器的部分调整"", number=13587)]"
248,[3.6.2]  @taro/helper 中的  swc_plugin_define_config.wasm 插件对 app.config.js 文件的转换有影响,"Repository(full_name=""NervJS/taro"")","[Issue(title=""[3.6.2]  @taro/helper 中的  swc_plugin_define_config.wasm 插件对 app.config.js 文件的转换有影响"", number=13538)]"
249,升级 `Taro` 依赖以支持 `Node 18` ,"Repository(full_name=""NervJS/taro"")","[Issue(title=""升级 `Taro` 依赖以支持 `Node 18` "", number=13328)]"
250,【Taro v3.5.12】编译到微信小程序平台，使用 CustomWrapper 包裹原生自定义组件，自定义组件的内容无法显示,"Repository(full_name=""NervJS/taro"")","[Issue(title=""【Taro v3.5.12】编译到微信小程序平台，使用 CustomWrapper 包裹原生自定义组件，自定义组件的内容无法显示"", number=13212)]"
251,使用mobx 6 时，字节小程序运行时报错,"Repository(full_name=""NervJS/taro"")","[Issue(title=""使用mobx 6 时，字节小程序运行时报错"", number=12979)]"
252,taro3.5.7引用自建组件库导致生成base.axml文件中包含slot模版,"Repository(full_name=""NervJS/taro"")","[Issue(title=""taro3.5.7引用自建组件库导致生成base.axml文件中包含slot模版"", number=12745)]"
253,启动小程序，App的componentDidShow没有被调用,"Repository(full_name=""NervJS/taro"")","[Issue(title=""启动小程序，App的componentDidShow没有被调用"", number=12634)]"
254,Allow specification of id prop on ErrorMessage,"Repository(full_name=""jaredpalmer/formik"")","[Issue(title=""Allow specification of id prop on ErrorMessage"", number=2427)]"
255,Use __DEV__ constant,"Repository(full_name=""jaredpalmer/formik"")","[Issue(title=""Use __DEV__ constant"", number=1577)]"
256,Set a more descriptive displayName in the connect() HOC,"Repository(full_name=""jaredpalmer/formik"")","[Issue(title=""Set a more descriptive displayName in the connect() HOC"", number=1145)]"
257,material-ui bindings,"Repository(full_name=""jaredpalmer/formik"")","[Issue(title=""material-ui bindings"", number=1117)]"
258,resetForm Typings,"Repository(full_name=""jaredpalmer/formik"")","[Issue(title=""resetForm Typings"", number=1110)]"
259,Field's value = 0,"Repository(full_name=""jaredpalmer/formik"")","[Issue(title=""Field's value = 0"", number=538)]"
260,Preserve indent and text-align when converting Lexical <-> HTML,"Repository(full_name=""payloadcms/payload"")","[Issue(title=""Preserve indent and text-align when converting Lexical <-> HTML"", number=5146)]"
261,Autosave relative time only shows last update in minutes,"Repository(full_name=""payloadcms/payload"")","[Issue(title=""Autosave relative time only shows last update in minutes"", number=3314)]"
262,Fix errcheck issues in server/channels/app/platform/web_hub.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/platform/web_hub.go"", number=29441)]"
263,Fix errcheck issues in server/channels/app/platform/web_conn.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/platform/web_conn.go"", number=29440)]"
264,Fix errcheck issues in server/channels/app/platform/web_broadcast_hook.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/platform/web_broadcast_hook.go"", number=29439)]"
265,Fix errcheck issues in server/channels/app/platform/session_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/platform/session_test.go"", number=29359)]"
266,Fix errcheck issues in server/channels/app/platform/service_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/platform/service_test.go"", number=29357)]"
267,Fix errcheck issues in server/channels/app/platform/service.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/platform/service.go"", number=29356)]"
268,Fix errcheck issues in server/channels/app/platform/searchengine.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/platform/searchengine.go"", number=29338)]"
269,Fix errcheck issues in server/channels/app/platform/metrics.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/platform/metrics.go"", number=29337)]"
270,Fix errcheck issues in server/channels/app/platform/log.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/platform/log.go"", number=29336)]"
271,Fix errcheck issues in server/channels/app/platform/link_cache.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/platform/link_cache.go"", number=29335)]"
272,Fix errcheck issues in server/channels/app/platform/feature_flags.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/platform/feature_flags.go"", number=29265)]"
273,Fix errcheck issues in server/channels/app/platform/config_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/platform/config_test.go"", number=29264)]"
274,Fix errcheck issues in server/channels/app/platform/cluster_handlers.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/platform/cluster_handlers.go"", number=29263)]"
275,Fix errcheck issues in server/channels/app/platform/busy_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/platform/busy_test.go"", number=29262)]"
276,Fix errcheck issues in server/channels/app/plugin_api_tests/test_update_user_auth_plugin/main.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/plugin_api_tests/test_update_user_auth_plugin/main.go"", number=29259)]"
277,Fix errcheck issues in server/channels/app/plugin_api_tests/manual.test_serve_metrics_plugin/main.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/plugin_api_tests/manual.test_serve_metrics_plugin/main.go"", number=29258)]"
278,Fix errcheck issues in server/channels/app/plugin_api_tests/manual.test_http_hijack_plugin/main.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/plugin_api_tests/manual.test_http_hijack_plugin/main.go"", number=29183)]"
279,Fix errcheck issues in server/channels/app/plugin_api_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/plugin_api_test.go"", number=29182)]"
280,Fix errcheck issues in server/channels/app/web_broadcast_hooks_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/web_broadcast_hooks_test.go"", number=29180)]"
281,Fix errcheck issues in server/channels/app/users/users_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/users/users_test.go"", number=29179)]"
282,Fix errcheck issues in server/channels/app/users/helper_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/users/helper_test.go"", number=29130)]"
283,Fix errcheck issues in server/channels/app/user_viewmembers_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/user_viewmembers_test.go"", number=29129)]"
284,Fix errcheck issues in server/channels/app/user_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/user_test.go"", number=29128)]"
285,Fix errcheck issues in server/channels/app/user.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/user.go"", number=29127)]"
286,Fix errcheck issues in server/channels/app/upload_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/upload_test.go"", number=29126)]"
287,Fix errcheck issues in server/channels/app/teams/helper_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/teams/helper_test.go"", number=29110)]"
288,Fix errcheck issues in server/channels/app/syncables.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/syncables.go"", number=29107)]"
289,Fix errcheck issues in server/channels/app/status_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/status_test.go"", number=29100)]"
290,Fix errcheck issues in server/channels/app/status.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/status.go"", number=29099)]"
291,Fix errcheck issues in server/channels/app/slashcommands/command_remove_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/slashcommands/command_remove_test.go"", number=29096)]"
292,Fix errcheck issues in server/channels/app/slashcommands/command_loadtest.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/slashcommands/command_loadtest.go"", number=29094)]"
293,Fix errcheck issues in server/channels/app/slashcommands/command_leave_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/slashcommands/command_leave_test.go"", number=29093)]"
294,Fix errcheck issues in server/channels/app/session_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/session_test.go"", number=29090)]"
295,Fix errcheck issues in server/channels/app/server_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/server_test.go"", number=29089)]"
296,Fix errcheck issues in server/channels/app/server.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/server.go"", number=29088)]"
297,Fix errcheck issues in server/channels/app/security_update_check.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/security_update_check.go"", number=29087)]"
298,Fix errcheck issues in server/channels/app/role_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/role_test.go"", number=29086)]"
299,Fix errcheck issues in server/channels/app/product_notices_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/product_notices_test.go"", number=29085)]"
300,Fix errcheck issues in server/channels/app/post_persistent_notification_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/post_persistent_notification_test.go"", number=29081)]"
301,Fix errcheck issues in server/channels/app/post_metadata_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/post_metadata_test.go"", number=29080)]"
302,Fix errcheck issues in server/channels/app/post_metadata.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/post_metadata.go"", number=29079)]"
303,Fix errcheck issues in server/channels/app/post.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/post.go"", number=29077)]"
304,Fix errcheck issues in server/channels/app/plugin_signature_test.go,"Repository(full_name=""mattermost/mattermost"")","[Issue(title=""Fix errcheck issues in server/channels/app/plugin_signature_test.go"", number=29075)]"
